Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
5,ANTIOQUIA,5000,Antioquia,DEGÜELLO DE GANADO MAYOR,2012,10500000000.0,20094791031.390133
5,ANTIOQUIA,5000,Antioquia,DEGÜELLO DE GANADO MAYOR,2013,11476368000.0,21546502990.33485
5,ANTIOQUIA,5000,Antioquia,DEGÜELLO DE GANADO MAYOR,2014,12279714000.0,22241258617.847946
5,ANTIOQUIA,5000,Antioquia,DEGÜELLO DE GANADO MAYOR,2015,14048000000.0,23831547319.023285
5,ANTIOQUIA,5000,Antioquia,DEGÜELLO DE GANADO MAYOR,2016,16019654000.0,25699454657.25615
5,ANTIOQUIA,5000,Antioquia,DEGÜELLO DE GANADO MAYOR,2017,17060931084.0,26293985905.993267
5,ANTIOQUIA,5000,Antioquia,DEGÜELLO DE GANADO MAYOR,2018,11942651000.0,17838890664.632805
5,ANTIOQUIA,5000,Antioquia,DEGÜELLO DE GANADO MAYOR,2019,12857142000.0,18501808840.86474
5,ANTIOQUIA,5000,Antioquia,DEGÜELLO DE GANADO MAYOR,2020,15766399454.0,22326955512.279877
5,ANTIOQUIA,5000,Antioquia,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2012,4444000000.0,8504881080.333119
5,ANTIOQUIA,5000,Antioquia,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2013,5370000000.0,10081998159.87934
5,ANTIOQUIA,5000,Antioquia,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2014,5328352000.0,9650815551.480055
5,ANTIOQUIA,5000,Antioquia,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2015,6470422000.0,10976663444.408407
5,ANTIOQUIA,5000,Antioquia,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2016,6486093000.0,10405284218.763184
5,ANTIOQUIA,5000,Antioquia,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2017,5419998604.0,8353199846.034802
5,ANTIOQUIA,5000,Antioquia,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2018,7079421000.0,10574621764.288801
5,ANTIOQUIA,5000,Antioquia,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2019,10956675000.0,15766980436.358381
5,ANTIOQUIA,5000,Antioquia,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2020,5621000000.0,7959954160.788775
5,ANTIOQUIA,5000,Antioquia,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2021,7997584526.0,10722641033.630852
5,ANTIOQUIA,5000,Antioquia,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2022,9239197652.0,10950335471.334084
5,ANTIOQUIA,5000,Antioquia,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2024,10888130358.0,11225662399.098001
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO CERVEZA,2012,153000000000.0,292809812171.6848
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO CERVEZA,2013,176402272000.0,331189456555.40686
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO CERVEZA,2014,172239240000.0,311963086516.6388
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO CERVEZA,2015,194042499000.0,329180879614.182
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO CERVEZA,2016,203744624000.0,326856355708.28827
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO CERVEZA,2017,216988024734.0,334417860082.4312
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO CERVEZA,2018,231092247000.0,345185447324.6617
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO CERVEZA,2019,240335936880.0,345850544525.67255
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO CERVEZA,2020,248747694671.0,352254091297.4635
5,ANTIOQUIA,5000,Antioquia,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,299115372602.0,401034432036.9596
5,ANTIOQUIA,5000,Antioquia,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2022,308292227773.0,365389230155.55475
5,ANTIOQUIA,5000,Antioquia,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2023,310300839704.0,336552669268.5253
5,ANTIOQUIA,5000,Antioquia,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2024,342210255339.0,352818773254.50903
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2012,103696080000.0,198452481749.93463
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2013,102722911000.0,192858882621.87134
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2014,111311269000.0,201609151557.58847
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2015,121037607000.0,205332677861.7486
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2016,127992278000.0,205331010578.62573
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2017,186232063285.0,287017351113.5107
5,ANTIOQUIA,5000,Antioquia,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2018,224214133768.0,334911521550.1739
