Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
95,GUAVIARE,95000,Guaviare,DEGÜELLO DE GANADO MAYOR,2012,2000000.0,3827579.244074311
95,GUAVIARE,95000,Guaviare,DEGÜELLO DE GANADO MAYOR,2013,146256000.0,274590823.62594277
95,GUAVIARE,95000,Guaviare,DEGÜELLO DE GANADO MAYOR,2014,98243000.0,177939646.67200196
95,GUAVIARE,95000,Guaviare,DEGÜELLO DE GANADO MAYOR,2015,143688000.0,243757643.16456562
95,GUAVIARE,95000,Guaviare,DEGÜELLO DE GANADO MAYOR,2016,176093000.0,282496367.83417463
95,GUAVIARE,95000,Guaviare,DEGÜELLO DE GANADO MAYOR,2017,139314522.0,214708919.45654312
95,GUAVIARE,95000,Guaviare,DEGÜELLO DE GANADO MAYOR,2018,136946355.0,204558523.37684405
95,GUAVIARE,95000,Guaviare,DEGÜELLO DE GANADO MAYOR,2019,128622610.0,185091752.33757997
95,GUAVIARE,95000,Guaviare,DEGÜELLO DE GANADO MAYOR,2020,110194643.0,156047732.9735783
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO CERVEZA,2012,5523815000.0,10571419821.053171
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO CERVEZA,2013,7613307000.0,14293733177.76471
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO CERVEZA,2014,8233288000.0,14912292556.913303
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO CERVEZA,2015,5374186000.0,9116968106.508575
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO CERVEZA,2016,6731398000.0,10798813612.38793
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO CERVEZA,2017,6550588075.0,10095643061.44744
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO CERVEZA,2018,7495564307.0,11196220348.589033
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO CERVEZA,2019,8442731263.0,12149340803.95305
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO CERVEZA,2020,9144738082.0,12949954802.551054
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,18380307782.0,24643120906.48327
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2022,15760152709.0,18678998517.327602
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2023,16588712726.0,17992138058.6328
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2024,15775484341.0,16264524355.571003
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2012,1098356000.0,2102022314.102242
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2013,1052227000.0,1975521541.485169
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2014,1025307000.0,1857056129.2950165
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2015,908462000.0,1541148572.0767748
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2016,1001990000.0,1607437749.4060788
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2017,1499722964.0,2311344807.862917
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2018,1839847045.0,2748203081.158676
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2019,1975319260.0,2842543027.6960773
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2020,1750908047.0,2479478347.9587617
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2021,2850700975.0,3822034409.2361364
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2022,2363550600.0,2801289998.149393
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2023,2382922313.0,2584520447.5266533
95,GUAVIARE,95000,Guaviare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2024,2049852698.0,2113398131.638
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2012,914878000.0,1750884021.830109
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2013,1012415000.0,1900775822.538965
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2014,1032899000.0,1870806908.4602888
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2015,915793000.0,1553585151.9027827
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2016,955278000.0,1532500242.8937817
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2017,1010366156.0,1557157304.8947551
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2018,1208414742.0,1805024567.834098
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2019,1312440524.0,1888640857.3579066
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2020,1072553411.0,1518853582.3799403
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2021,918122261.0,1230958597.2719154
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2022,1174952969.0,1392559144.0080166
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2023,1201201559.0,1302824676.1968164
95,GUAVIARE,95000,Guaviare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2024,937249621.0,966304359.251
95,GUAVIARE,95000,Guaviare,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2021,106214276.0,142405191.278999
95,GUAVIARE,95000,Guaviare,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2022,109188275.0,129410397.50648259
95,GUAVIARE,95000,Guaviare,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2023,112463924.0,121978509.16136162
95,GUAVIARE,95000,Guaviare,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2024,116962481.0,120588317.91100001
95,GUAVIARE,95000,Guaviare,IMPUESTO DE LOTERIAS FORANEAS,2021,29815098.0,39974143.71766843
95,GUAVIARE,95000,Guaviare,IMPUESTO DE LOTERIAS FORANEAS,2022,39112820.0,46356676.884944856
95,GUAVIARE,95000,Guaviare,IMPUESTO DE LOTERIAS FORANEAS,2023,40286205.0,43694467.08678769
95,GUAVIARE,95000,Guaviare,IMPUESTO DE LOTERIAS FORANEAS,2024,41894790.0,43193528.49
95,GUAVIARE,95000,Guaviare,IMPUESTO DE LOTERÍAS FORÁNEAS,2012,21047000.0,40279530.175016016
95,GUAVIARE,95000,Guaviare,IMPUESTO DE LOTERÍAS FORÁNEAS,2013,26212000.0,49212166.809452005
95,GUAVIARE,95000,Guaviare,IMPUESTO DE LOTERÍAS FORÁNEAS,2014,22546000.0,40835756.98896569
95,GUAVIARE,95000,Guaviare,IMPUESTO DE LOTERÍAS FORÁNEAS,2015,23335000.0,39586357.964792736
95,GUAVIARE,95000,Guaviare,IMPUESTO DE LOTERÍAS FORÁNEAS,2016,25719000.0,41259584.90301794
95,GUAVIARE,95000,Guaviare,IMPUESTO DE LOTERÍAS FORÁNEAS,2017,26490327.0,40826393.43384812
95,GUAVIARE,95000,Guaviare,IMPUESTO DE LOTERÍAS FORÁNEAS,2018,28803932.0,43024801.91872961
95,GUAVIARE,95000,Guaviare,IMPUESTO DE LOTERÍAS FORÁNEAS,2019,28103589.0,40441898.47325549
95,GUAVIARE,95000,Guaviare,IMPUESTO DE LOTERÍAS FORÁNEAS,2020,28946697.0,40991706.32027076
95,GUAVIARE,95000,Guaviare,IMPUESTO DE REGISTRO,2012,281763000.0,539235105.274055
95,GUAVIARE,95000,Guaviare,IMPUESTO DE REGISTRO,2013,331516000.0,622410372.8064356
